[13:43:45 25/06/1995]	42700293.txt
INOP	SpO2 NON-PULSATILE
PULSE 	0
HR    	94
RESP  [inactive, status = 21e0]
ABP   	98	134	82
PAP   [inactive, status = 31a0]
ART   [inactive, status = 41e0]
P4    [inactive, status = 71a0]
SpO2  	0
INOP	PLETH NON-PULSATIL
INOP	SpO2 NON-PULSATILE
PULSE 	0
HR    	94
RESP  [inactive, status = 21e0]
ABP   	101	140	85
PAP   [inactive, status = 31a0]
ART   [inactive, status = 41e0]
P4    [inactive, status = 71a0]
SpO2  	0
INOP	PLETH NON-PULSATIL
INOP	SpO2 NON-PULSATILE
PULSE 	0
HR    	94
RESP  [inactive, status = 21e0]
ABP   	101	139	84
PAP   [inactive, status = 31a0]
ART   [inactive, status = 41e0]
P4    [inactive, status = 71a0]
SpO2  	0
INOP	PLETH NON-PULSATIL
INOP	SpO2 NON-PULSATILE
PULSE 	0
HR    	94
RESP  [inactive, status = 21e0]
ABP   	100	138	83
PAP   [inactive, status = 31a0]
ART   [inactive, status = 41e0]
P4    [inactive, status = 71a0]
SpO2  	0
INOP	PLETH NON-PULSATIL
INOP	SpO2 NON-PULSATILE
PULSE 	0
HR    	94
RESP  [inactive, status = 21e0]
ABP   	101	138	83
PAP   [inactive, status = 31a0]
ART   [inactive, status = 41e0]
P4    [inactive, status = 71a0]
SpO2  	0
INOP	PLETH NON-PULSATIL
INOP	SpO2 NON-PULSATILE
PULSE 	0
HR    	95
RESP  [inactive, status = 21e0]
ABP   	101	137	83
PAP   [inactive, status = 31a0]
ART   [inactive, status = 41e0]
P4    [inactive, status = 71a0]
SpO2  	0
INOP	PLETH NON-PULSATIL
INOP	SpO2 NON-PULSATILE
PULSE 	0
HR    	95
RESP  [inactive, status = 21e0]
ABP   	99	136	83
PAP   [inactive, status = 31a0]
ART   [inactive, status = 41e0]
P4    [inactive, status = 71a0]
SpO2  	0
INOP	PLETH NON-PULSATIL
INOP	SpO2 NON-PULSATILE
PULSE 	0
HR    	95
RESP  [inactive, status = 21e0]
ABP   	98	135	82
PAP   [inactive, status = 31a0]
ART   [inactive, status = 41e0]
P4    [inactive, status = 71a0]
SpO2  	0
INOP	PLETH NON-PULSATIL
INOP	SpO2 NON-PULSATILE
PULSE 	0
HR    	95
RESP  [inactive, status = 21e0]
ABP   	97	136	81
PAP   [inactive, status = 31a0]
ART   [inactive, status = 41e0]
P4    [inactive, status = 71a0]
SpO2  	0
INOP	PLETH NON-PULSATIL
INOP	SpO2 NON-PULSATILE
PULSE 	0
HR    	96
RESP  [inactive, status = 21e0]
ABP   	97	136	80
PAP   [inactive, status = 31a0]
ART   [inactive, status = 41e0]
P4    [inactive, status = 71a0]
SpO2  	0
INOP	PLETH NON-PULSATIL
INOP	SpO2 NON-PULSATILE
PULSE 	0
HR    	96
RESP  [inactive, status = 21e0]
ABP   	97	136	80
PAP   [inactive, status = 31a0]
ART   [inactive, status = 41e0]
P4    [inactive, status = 71a0]
SpO2  	0
INOP	PLETH NON-PULSATIL
INOP	SpO2 NON-PULSATILE
PULSE 	0
HR    	96
RESP  [inactive, status = 21e0]
ABP   	96	136	80
PAP   [inactive, status = 31a0]
ART   [inactive, status = 41e0]
P4    [inactive, status = 71a0]
SpO2  	0
INOP	PLETH NON-PULSATIL
INOP	SpO2 NON-PULSATILE
PULSE 	0
HR    	96
RESP  [inactive, status = 21e0]
ABP   	97	137	80
PAP   [inactive, status = 31a0]
ART   [inactive, status = 41e0]
P4    [inactive, status = 71a0]
SpO2  	0
INOP	PLETH NON-PULSATIL
INOP	SpO2 NON-PULSATILE
PULSE 	0
HR    	96
RESP  [inactive, status = 21e0]
ABP   	97	138	80
PAP   [inactive, status = 31a0]
ART   [inactive, status = 41e0]
P4    [inactive, status = 71a0]
SpO2  	0
INOP	PLETH NON-PULSATIL
INOP	SpO2 NON-PULSATILE
PULSE 	0
HR    	96
RESP  [inactive, status = 21e0]
ABP   	98	139	80
PAP   [inactive, status = 31a0]
ART   [inactive, status = 41e0]
P4    [inactive, status = 71a0]
SpO2  	0
INOP	PLETH NON-PULSATIL
INOP	SpO2 NON-PULSATILE
PULSE 	0
HR    	96
RESP  [inactive, status = 21e0]
ABP   	98	139	80
PAP   [inactive, status = 31a0]
ART   [inactive, status = 41e0]
P4    [inactive, status = 71a0]
SpO2  	0
INOP	LEADS OFF (V)     
INOP	PLETH NON-PULSATIL
PULSE 	0
INOP	SpO2 NON-PULSATILE
HR    	97
RESP  [inactive, status = 21e0]
ABP   	98	139	80
PAP   [inactive, status = 31a0]
ART   [inactive, status = 41e0]
P4    [inactive, status = 71a0]
SpO2  	0
INOP	LEADS OFF (V)     
INOP	PLETH NON-PULSATIL
PULSE 	0
INOP	SpO2 NON-PULSATILE
HR    	0
RESP  [inactive, status = 21e0]
ABP   	98	140	80
PAP   [inactive, status = 31a0]
ART   [inactive, status = 41e0]
P4    [inactive, status = 71a0]
SpO2  	0
INOP	LEADS OFF (V)     
INOP	PLETH NON-PULSATIL
PULSE 	0
INOP	SpO2 NON-PULSATILE
HR    	0
RESP  [inactive, status = 21e0]
ABP   	98	141	81
PAP   [inactive, status = 31a0]
ART   [inactive, status = 41e0]
P4    [inactive, status = 71a0]
SpO2  	0
INOP	LEADS OFF (V)     
INOP	PLETH NON-PULSATIL
PULSE 	0
INOP	SpO2 NON-PULSATILE
HR    	0
RESP  [inactive, status = 21e0]
ABP   	98	141	81
PAP   [inactive, status = 31a0]
ART   [inactive, status = 41e0]
P4    [inactive, status = 71a0]
SpO2  	0
INOP	LEADS OFF (V)     
INOP	PLETH NON-PULSATIL
PULSE 	0
INOP	SpO2 NON-PULSATILE
HR    	0
RESP  [inactive, status = 21e0]
ABP   	98	141	81
PAP   [inactive, status = 31a0]
ART   [inactive, status = 41e0]
P4    [inactive, status = 71a0]
SpO2  	0
INOP	LEADS OFF (V)     
INOP	PLETH NON-PULSATIL
PULSE 	0
INOP	SpO2 NON-PULSATILE
HR    	0
RESP  [inactive, status = 21e0]
ABP   	98	141	80
PAP   [inactive, status = 31a0]
ART   [inactive, status = 41e0]
P4    [inactive, status = 71a0]
SpO2  	0
INOP	PLETH NON-PULSATIL
INOP	SpO2 NON-PULSATILE
PULSE 	0
HR    	0
RESP  [inactive, status = 21e0]
ABP   	98	141	81
PAP   [inactive, status = 31a0]
ART   [inactive, status = 41e0]
P4    [inactive, status = 71a0]
SpO2  	0
INOP	PLETH NON-PULSATIL
INOP	SpO2 NON-PULSATILE
PULSE 	0
HR    	0
RESP  [inactive, status = 21e0]
ABP   	99	142	81
PAP   [inactive, status = 31a0]
ART   [inactive, status = 41e0]
P4    [inactive, status = 71a0]
SpO2  	0
INOP	PLETH NON-PULSATIL
INOP	SpO2 NON-PULSATILE
PULSE 	0
HR    	0
RESP  [inactive, status = 21e0]
ABP   	99	142	81
PAP   [inactive, status = 31a0]
ART   [inactive, status = 41e0]
P4    [inactive, status = 71a0]
SpO2  	0
INOP	PLETH NON-PULSATIL
INOP	SpO2 NON-PULSATILE
PULSE 	0
HR    	0
RESP  [inactive, status = 21e0]
ABP   	98	141	81
PAP   [inactive, status = 31a0]
ART   [inactive, status = 41e0]
P4    [inactive, status = 71a0]
SpO2  	0
INOP	PLETH NON-PULSATIL
INOP	SpO2 NON-PULSATILE
PULSE 	0
HR    	0
RESP  [inactive, status = 21e0]
ABP   	98	140	81
PAP   [inactive, status = 31a0]
ART   [inactive, status = 41e0]
P4    [inactive, status = 71a0]
SpO2  	0
INOP	PLETH NON-PULSATIL
INOP	SpO2 NON-PULSATILE
PULSE 	0
HR    	0
RESP  [inactive, status = 21e0]
ABP   	98	141	80
PAP   [inactive, status = 31a0]
ART   [inactive, status = 41e0]
P4    [inactive, status = 71a0]
SpO2  	0
INOP	PLETH NON-PULSATIL
INOP	SpO2 NON-PULSATILE
PULSE 	0
HR    	0
RESP  [inactive, status = 21e0]
ABP   	99	141	80
PAP   [inactive, status = 31a0]
ART   [inactive, status = 41e0]
P4    [inactive, status = 71a0]
SpO2  	0
INOP	PLETH NON-PULSATIL
INOP	SpO2 NON-PULSATILE
PULSE 	0
HR    	0
RESP  [inactive, status = 21e0]
ABP   	99	142	81
PAP   [inactive, status = 31a0]
ART   [inactive, status = 41e0]
P4    [inactive, status = 71a0]
SpO2  	0
INOP	PLETH NON-PULSATIL
INOP	SpO2 NON-PULSATILE
PULSE 	0
HR    	92
RESP  [inactive, status = 21e0]
ABP   	99	142	81
PAP   [inactive, status = 31a0]
ART   [inactive, status = 41e0]
P4    [inactive, status = 71a0]
SpO2  	0
INOP	PLETH NON-PULSATIL
INOP	SpO2 NON-PULSATILE
PULSE 	0
HR    	92
RESP  [inactive, status = 21e0]
ABP   	99	143	81
PAP   [inactive, status = 31a0]
ART   [inactive, status = 41e0]
P4    [inactive, status = 71a0]
SpO2  	0
INOP	PLETH NON-PULSATIL
INOP	SpO2 NON-PULSATILE
PULSE 	0
HR    	92
RESP  [inactive, status = 21e0]
ABP   	99	144	81
PAP   [inactive, status = 31a0]
ART   [inactive, status = 41e0]
P4    [inactive, status = 71a0]
SpO2  	0
INOP	PLETH NON-PULSATIL
INOP	SpO2 NON-PULSATILE
PULSE 	0
HR    	92
RESP  [inactive, status = 21e0]
ABP   	99	144	81
PAP   [inactive, status = 31a0]
ART   [inactive, status = 41e0]
P4    [inactive, status = 71a0]
SpO2  	0
INOP	PLETH NON-PULSATIL
INOP	SpO2 NON-PULSATILE
PULSE 	0
HR    	92
RESP  [inactive, status = 21e0]
ABP   	100	144	82
PAP   [inactive, status = 31a0]
ART   [inactive, status = 41e0]
P4    [inactive, status = 71a0]
SpO2  	0
INOP	PLETH NON-PULSATIL
INOP	SpO2 NON-PULSATILE
PULSE 	0
HR    	92
RESP  [inactive, status = 21e0]
ABP   	100	144	81
PAP   [inactive, status = 31a0]
ART   [inactive, status = 41e0]
P4    [inactive, status = 71a0]
SpO2  	0
INOP	PLETH NON-PULSATIL
INOP	SpO2 NON-PULSATILE
PULSE 	0
HR    	92
RESP  [inactive, status = 21e0]
ABP   	101	145	82
PAP   [inactive, status = 31a0]
ART   [inactive, status = 41e0]
P4    [inactive, status = 71a0]
SpO2  	0
INOP	PLETH NON-PULSATIL
INOP	SpO2 NON-PULSATILE
PULSE 	0
HR    	93
RESP  [inactive, status = 21e0]
ABP   	101	146	82
PAP   [inactive, status = 31a0]
ART   [inactive, status = 41e0]
P4    [inactive, status = 71a0]
SpO2  	0
INOP	PLETH NON-PULSATIL
INOP	SpO2 NON-PULSATILE
PULSE 	0
HR    	93
RESP  [inactive, status = 21e0]
ABP   	101	145	82
PAP   [inactive, status = 31a0]
ART   [inactive, status = 41e0]
P4    [inactive, status = 71a0]
SpO2  	0
INOP	PLETH NON-PULSATIL
INOP	SpO2 NON-PULSATILE
PULSE 	0
HR    	93
RESP  [inactive, status = 21e0]
ABP   	102	145	82
PAP   [inactive, status = 31a0]
ART   [inactive, status = 41e0]
P4    [inactive, status = 71a0]
SpO2  	0
INOP	PLETH NON-PULSATIL
INOP	SpO2 NON-PULSATILE
PULSE 	0
HR    	93
RESP  [inactive, status = 21e0]
ABP   	102	146	83
PAP   [inactive, status = 31a0]
ART   [inactive, status = 41e0]
P4    [inactive, status = 71a0]
SpO2  	0
INOP	PLETH NON-PULSATIL
INOP	SpO2 NON-PULSATILE
PULSE 	0
HR    	92
RESP  [inactive, status = 21e0]
ABP   	103	147	84
PAP   [inactive, status = 31a0]
ART   [inactive, status = 41e0]
P4    [inactive, status = 71a0]
SpO2  	0
INOP	PLETH NON-PULSATIL
INOP	SpO2 NON-PULSATILE
PULSE 	0
HR    	92
RESP  [inactive, status = 21e0]
ABP   	103	147	84
PAP   [inactive, status = 31a0]
ART   [inactive, status = 41e0]
P4    [inactive, status = 71a0]
SpO2  	0
INOP	PLETH NON-PULSATIL
INOP	SpO2 NON-PULSATILE
PULSE 	0
HR    	92
RESP  [inactive, status = 21e0]
ABP   	103	147	84
PAP   [inactive, status = 31a0]
ART   [inactive, status = 41e0]
P4    [inactive, status = 71a0]
SpO2  	0
INOP	PLETH NON-PULSATIL
INOP	SpO2 NON-PULSATILE
PULSE 	0
HR    	92
RESP  [inactive, status = 21e0]
ABP   	103	147	84
PAP   [inactive, status = 31a0]
ART   [inactive, status = 41e0]
P4    [inactive, status = 71a0]
SpO2  	0
INOP	PLETH NON-PULSATIL
INOP	SpO2 NON-PULSATILE
PULSE 	0
HR    	92
RESP  [inactive, status = 21e0]
ABP   	103	147	84
PAP   [inactive, status = 31a0]
ART   [inactive, status = 41e0]
P4    [inactive, status = 71a0]
SpO2  	0
INOP	PLETH NON-PULSATIL
INOP	SpO2 NON-PULSATILE
PULSE 	0
HR    	92
RESP  [inactive, status = 21e0]
ABP   	103	147	84
PAP   [inactive, status = 31a0]
ART   [inactive, status = 41e0]
P4    [inactive, status = 71a0]
SpO2  	0
INOP	PLETH NON-PULSATIL
INOP	SpO2 NON-PULSATILE
PULSE 	0
HR    	92
RESP  [inactive, status = 21e0]
ABP   	103	147	84
PAP   [inactive, status = 31a0]
ART   [inactive, status = 41e0]
P4    [inactive, status = 71a0]
SpO2  	0
INOP	PLETH NON-PULSATIL
INOP	SpO2 NON-PULSATILE
PULSE 	0
HR    	91
RESP  [inactive, status = 21e0]
ABP   	102	147	84
PAP   [inactive, status = 31a0]
ART   [inactive, status = 41e0]
P4    [inactive, status = 71a0]
SpO2  	0
INOP	PLETH NON-PULSATIL
INOP	SpO2 NON-PULSATILE
PULSE 	0
HR    	91
RESP  [inactive, status = 21e0]
ABP   	102	147	84
PAP   [inactive, status = 31a0]
ART   [inactive, status = 41e0]
P4    [inactive, status = 71a0]
SpO2  	0
INOP	PLETH NON-PULSATIL
INOP	SpO2 NON-PULSATILE
PULSE 	0
HR    	91
RESP  [inactive, status = 21e0]
ABP   	103	147	84
PAP   [inactive, status = 31a0]
ART   [inactive, status = 41e0]
P4    [inactive, status = 71a0]
SpO2  	0
INOP	PLETH NON-PULSATIL
INOP	SpO2 NON-PULSATILE
PULSE 	0
HR    	91
RESP  [inactive, status = 21e0]
ABP   	103	148	84
PAP   [inactive, status = 31a0]
ART   [inactive, status = 41e0]
P4    [inactive, status = 71a0]
SpO2  	0
INOP	PLETH NON-PULSATIL
INOP	SpO2 NON-PULSATILE
PULSE 	0
HR    	90
RESP  [inactive, status = 21e0]
ABP   	103	148	84
PAP   [inactive, status = 31a0]
ART   [inactive, status = 41e0]
P4    [inactive, status = 71a0]
SpO2  	0
INOP	PLETH NON-PULSATIL
INOP	SpO2 NON-PULSATILE
PULSE 	0
HR    	90
RESP  [inactive, status = 21e0]
ABP   	103	148	84
PAP   [inactive, status = 31a0]
ART   [inactive, status = 41e0]
P4    [inactive, status = 71a0]
SpO2  	0
INOP	PLETH NON-PULSATIL
INOP	SpO2 NON-PULSATILE
PULSE 	0
HR    	89
RESP  [inactive, status = 21e0]
ABP   	103	147	84
PAP   [inactive, status = 31a0]
ART   [inactive, status = 41e0]
P4    [inactive, status = 71a0]
SpO2  	0
INOP	PLETH NON-PULSATIL
INOP	SpO2 NON-PULSATILE
PULSE 	0
HR    	89
RESP  [inactive, status = 21e0]
ABP   	103	148	84
PAP   [inactive, status = 31a0]
ART   [inactive, status = 41e0]
P4    [inactive, status = 71a0]
SpO2  	0
INOP	PLETH NON-PULSATIL
INOP	SpO2 NON-PULSATILE
PULSE 	0
HR    	89
RESP  [inactive, status = 21e0]
ABP   	103	148	84
PAP   [inactive, status = 31a0]
ART   [inactive, status = 41e0]
P4    [inactive, status = 71a0]
SpO2  	0
INOP	PLETH NON-PULSATIL
INOP	SpO2 NON-PULSATILE
PULSE 	0
HR    	88
RESP  [inactive, status = 21e0]
ABP   	103	148	84
PAP   [inactive, status = 31a0]
ART   [inactive, status = 41e0]
P4    [inactive, status = 71a0]
SpO2  	0
INOP	PLETH NON-PULSATIL
INOP	SpO2 NON-PULSATILE
PULSE 	0
HR    	88
RESP  [inactive, status = 21e0]
ABP   	102	148	84
PAP   [inactive, status = 31a0]
ART   [inactive, status = 41e0]
P4    [inactive, status = 71a0]
SpO2  	0
INOP	PLETH NON-PULSATIL
INOP	SpO2 NON-PULSATILE
PULSE 	0
HR    	97
RESP  [inactive, status = 21e0]
ABP   	102	147	84
PAP   [inactive, status = 31a0]
ART   [inactive, status = 41e0]
P4    [inactive, status = 71a0]
SpO2  	0
INOP	PLETH NON-PULSATIL
INOP	SpO2 NON-PULSATILE
PULSE 	0
HR    	98
RESP  [inactive, status = 21e0]
ABP   	103	148	84
PAP   [inactive, status = 31a0]
ART   [inactive, status = 41e0]
P4    [inactive, status = 71a0]
SpO2  	0
INOP	PLETH NON-PULSATIL
INOP	SpO2 NON-PULSATILE
PULSE 	0
HR    	98
RESP  [inactive, status = 21e0]
ABP   	102	147	84
PAP   [inactive, status = 31a0]
ART   [inactive, status = 41e0]
P4    [inactive, status = 71a0]
SpO2  	0
INOP	NOISY-CHK ECG LEAD
INOP	PLETH NON-PULSATIL
PULSE 	0
INOP	SpO2 NON-PULSATILE
HR    	98
RESP  [inactive, status = 21e0]
ABP   	102	147	84
PAP   [inactive, status = 31a0]
ART   [inactive, status = 41e0]
P4    [inactive, status = 71a0]
SpO2  	0
INOP	NOISY-CHK ECG LEAD
INOP	PLETH NON-PULSATIL
PULSE 	0
INOP	SpO2 NON-PULSATILE
HR    	98
RESP  [inactive, status = 21e0]
ABP   	101	145	83
PAP   [inactive, status = 31a0]
ART   [inactive, status = 41e0]
P4    [inactive, status = 71a0]
SpO2  	0
INOP	PLETH NON-PULSATIL
INOP	SpO2 NON-PULSATILE
PULSE 	0
HR    	98
RESP  [inactive, status = 21e0]
ABP   	101	146	83
PAP   [inactive, status = 31a0]
ART   [inactive, status = 41e0]
P4    [inactive, status = 71a0]
SpO2  	0
INOP	PLETH NON-PULSATIL
INOP	SpO2 NON-PULSATILE
PULSE 	0
HR    	98
RESP  [inactive, status = 21e0]
ABP   	101	146	83
PAP   [inactive, status = 31a0]
ART   [inactive, status = 41e0]
P4    [inactive, status = 71a0]
SpO2  	0
INOP	NOISY-CHK ECG LEAD
INOP	PLETH NON-PULSATIL
PULSE 	0
INOP	SpO2 NON-PULSATILE
HR    	98
RESP  [inactive, status = 21e0]
ABP   	101	146	83
PAP   [inactive, status = 31a0]
ART   [inactive, status = 41e0]
P4    [inactive, status = 71a0]
SpO2  	0
INOP	NOISY-CHK ECG LEAD
INOP	PLETH NON-PULSATIL
PULSE 	0
INOP	SpO2 NON-PULSATILE
HR    	98
RESP  [inactive, status = 21e0]
ABP   	101	146	83
PAP   [inactive, status = 31a0]
ART   [inactive, status = 41e0]
P4    [inactive, status = 71a0]
SpO2  	0
INOP	PLETH NON-PULSATIL
INOP	SpO2 NON-PULSATILE
PULSE 	0
HR    	98
RESP  [inactive, status = 21e0]
ABP   	101	146	83
PAP   [inactive, status = 31a0]
ART   [inactive, status = 41e0]
P4    [inactive, status = 71a0]
SpO2  	0
INOP	PLETH NON-PULSATIL
INOP	SpO2 NON-PULSATILE
PULSE 	0
HR    	97
RESP  [inactive, status = 21e0]
ABP   	102	147	84
PAP   [inactive, status = 31a0]
ART   [inactive, status = 41e0]
P4    [inactive, status = 71a0]
SpO2  	0
INOP	PLETH NON-PULSATIL
INOP	SpO2 NON-PULSATILE
PULSE 	0
HR    	97
RESP  [inactive, status = 21e0]
ABP   	102	147	84
PAP   [inactive, status = 31a0]
ART   [inactive, status = 41e0]
P4    [inactive, status = 71a0]
SpO2  	0
INOP	PLETH NON-PULSATIL
INOP	SpO2 NON-PULSATILE
PULSE 	0
HR    	89
RESP  [inactive, status = 21e0]
ABP   	102	147	84
PAP   [inactive, status = 31a0]
ART   [inactive, status = 41e0]
P4    [inactive, status = 71a0]
SpO2  	0
INOP	PLETH NON-PULSATIL
INOP	SpO2 NON-PULSATILE
PULSE 	0
HR    	89
RESP  [inactive, status = 21e0]
ABP   	102	146	83
PAP   [inactive, status = 31a0]
ART   [inactive, status = 41e0]
P4    [inactive, status = 71a0]
SpO2  	0
INOP	PLETH NON-PULSATIL
INOP	SpO2 NON-PULSATILE
PULSE 	0
HR    	88
RESP  [inactive, status = 21e0]
ABP   	101	146	83
PAP   [inactive, status = 31a0]
ART   [inactive, status = 41e0]
P4    [inactive, status = 71a0]
SpO2  	0
INOP	PLETH NON-PULSATIL
INOP	SpO2 NON-PULSATILE
PULSE 	0
HR    	88
RESP  [inactive, status = 21e0]
ABP   	101	146	83
PAP   [inactive, status = 31a0]
ART   [inactive, status = 41e0]
P4    [inactive, status = 71a0]
SpO2  	0
INOP	PLETH NON-PULSATIL
INOP	SpO2 NON-PULSATILE
PULSE 	0
HR    	88
RESP  [inactive, status = 21e0]
ABP   	101	145	83
PAP   [inactive, status = 31a0]
ART   [inactive, status = 41e0]
P4    [inactive, status = 71a0]
SpO2  	0
INOP	PLETH NON-PULSATIL
INOP	SpO2 NON-PULSATILE
PULSE 	0
HR    	88
RESP  [inactive, status = 21e0]
ABP   	101	145	83
PAP   [inactive, status = 31a0]
ART   [inactive, status = 41e0]
P4    [inactive, status = 71a0]
SpO2  	0
INOP	PLETH NON-PULSATIL
INOP	SpO2 NON-PULSATILE
PULSE 	0
HR    	88
RESP  [inactive, status = 21e0]
ABP   	100	143	82
PAP   [inactive, status = 31a0]
ART   [inactive, status = 41e0]
P4    [inactive, status = 71a0]
SpO2  	0
INOP	PLETH NON-PULSATIL
INOP	SpO2 NON-PULSATILE
PULSE 	0
HR    	88
RESP  [inactive, status = 21e0]
ABP   	100	143	82
PAP   [inactive, status = 31a0]
ART   [inactive, status = 41e0]
P4    [inactive, status = 71a0]
SpO2  	0
INOP	PLETH NON-PULSATIL
INOP	SpO2 NON-PULSATILE
PULSE 	0
HR    	88
RESP  [inactive, status = 21e0]
ABP   	100	143	82
PAP   [inactive, status = 31a0]
ART   [inactive, status = 41e0]
P4    [inactive, status = 71a0]
SpO2  	0
INOP	PLETH NON-PULSATIL
INOP	SpO2 NON-PULSATILE
PULSE 	0
HR    	88
RESP  [inactive, status = 21e0]
ABP   	100	143	82
PAP   [inactive, status = 31a0]
ART   [inactive, status = 41e0]
P4    [inactive, status = 71a0]
SpO2  	0
INOP	PLETH NON-PULSATIL
INOP	SpO2 NON-PULSATILE
PULSE 	0
HR    	88
RESP  [inactive, status = 21e0]
ABP   	99	142	82
PAP   [inactive, status = 31a0]
ART   [inactive, status = 41e0]
P4    [inactive, status = 71a0]
SpO2  	0
INOP	PLETH NON-PULSATIL
INOP	SpO2 NON-PULSATILE
PULSE 	0
HR    	88
RESP  [inactive, status = 21e0]
ABP   	99	142	81
PAP   [inactive, status = 31a0]
ART   [inactive, status = 41e0]
P4    [inactive, status = 71a0]
SpO2  	0
INOP	PLETH NON-PULSATIL
INOP	SpO2 NON-PULSATILE
PULSE 	0
HR    	88
RESP  [inactive, status = 21e0]
ABP   	99	142	81
PAP   [inactive, status = 31a0]
ART   [inactive, status = 41e0]
P4    [inactive, status = 71a0]
SpO2  	0
INOP	PLETH NON-PULSATIL
INOP	SpO2 NON-PULSATILE
PULSE 	0
HR    	88
RESP  [inactive, status = 21e0]
ABP   	100	142	82
PAP   [inactive, status = 31a0]
ART   [inactive, status = 41e0]
P4    [inactive, status = 71a0]
SpO2  	0
INOP	PLETH NON-PULSATIL
INOP	SpO2 NON-PULSATILE
PULSE 	0
HR    	88
RESP  [inactive, status = 21e0]
ABP   	100	142	82
PAP   [inactive, status = 31a0]
ART   [inactive, status = 41e0]
P4    [inactive, status = 71a0]
SpO2  	0
INOP	PLETH NON-PULSATIL
INOP	SpO2 NON-PULSATILE
PULSE 	0
HR    	88
RESP  [inactive, status = 21e0]
ABP   	100	142	82
PAP   [inactive, status = 31a0]
ART   [inactive, status = 41e0]
P4    [inactive, status = 71a0]
SpO2  	0
INOP	PLETH NON-PULSATIL
INOP	SpO2 NON-PULSATILE
PULSE 	0
HR    	88
RESP  [inactive, status = 21e0]
ABP   	99	141	81
PAP   [inactive, status = 31a0]
ART   [inactive, status = 41e0]
P4    [inactive, status = 71a0]
SpO2  	0
INOP	PLETH NON-PULSATIL
INOP	SpO2 NON-PULSATILE
PULSE 	0
HR    	88
RESP  [inactive, status = 21e0]
ABP   	100	141	81
PAP   [inactive, status = 31a0]
ART   [inactive, status = 41e0]
P4    [inactive, status = 71a0]
SpO2  	0
INOP	PLETH NON-PULSATIL
INOP	SpO2 NON-PULSATILE
PULSE 	0
HR    	88
RESP  [inactive, status = 21e0]
ABP   	100	142	82
PAP   [inactive, status = 31a0]
ART   [inactive, status = 41e0]
P4    [inactive, status = 71a0]
SpO2  	0
INOP	PLETH NON-PULSATIL
INOP	SpO2 NON-PULSATILE
PULSE 	0
HR    	89
RESP  [inactive, status = 21e0]
ABP   	100	142	82
PAP   [inactive, status = 31a0]
ART   [inactive, status = 41e0]
P4    [inactive, status = 71a0]
SpO2  	0
INOP	PLETH NON-PULSATIL
INOP	SpO2 NON-PULSATILE
PULSE 	0
HR    	89
RESP  [inactive, status = 21e0]
ABP   	100	143	82
PAP   [inactive, status = 31a0]
ART   [inactive, status = 41e0]
